Cycle,Voltage,Current,Temperature,Capacity,SOH
1,4.19475965939431,1.37055496553059,24.2740329370671,1.99405753987847,99.7028769939235
2,4.20355253183257,1.41720701783941,25.4787538784827,2.00794792833572,100
3,4.19877646895472,1.44352321525599,24.7135070675478,1.99167922362173,99.5839611810865
4,4.19914401074678,1.47710407704832,23.8484173627266,1.98811749569199,99.4058747845994
5,4.18177545488146,1.58557171312918,25.1884001925762,1.98947684007994,99.4738420039969
6,4.2035352391949,1.36982364159839,25.674003341439,1.99090608106834,99.5453040534168
7,4.20010082204482,1.49260931619865,26.0712093699087,1.99026340388421,99.5131701942104
8,4.21429502007598,1.28024121954011,24.764553366408,1.9954046418068,99.7702320903399
9,4.22171195486885,1.58640113267847,24.5137412343598,1.99164675842819,99.5823379214096
10,4.20157371918462,1.56453279481625,25.3718498456666,1.99715654097334,99.8578270486668
11,4.16886544098297,1.38060447027794,25.5916684939704,1.98489255424302,99.244627712151
12,4.18376593072151,1.49651039302057,25.9404738154871,1.99735216567841,99.8676082839207
13,4.1868336345828,1.42872117793224,25.3638250030936,1.97811561220212,98.9057806101062
14,4.19158616692756,1.76190277905047,25.7544400023559,1.99643839318268,99.8219196591338
15,4.19017198840247,1.77946496531466,25.7229302895828,1.98672893370933,99.3364466854667
16,4.2189916848747,1.56291307851969,25.1326865706467,1.98924490751563,99.4622453757814
17,4.16559146586597,1.68257790684403,25.3962513250104,1.97142550032574,98.5712750162869
18,4.21347779442762,1.48487571983614,25.2758985440649,1.97622602885889,98.8113014429446
19,4.20133538477076,1.60988916994367,25.5732760547076,1.9950250201237,99.7512510061852
20,4.20202396581792,1.46493617333578,25.4864308875782,2.001093281478,100
21,4.19965782981153,1.38189258481664,25.3272106207177,1.98189439207459,99.0947196037297
22,4.1954227221481,1.66136859633105,25.8682299404932,1.98815986756661,99.4079933783303
23,4.19108600913021,1.54120210533738,25.350361596914,1.99681486514594,99.840743257297
24,4.14562221441039,1.36521612819051,25.6613747093308,1.99598766661061,99.7993833305305
25,4.18206258764305,1.63854429792558,25.0854280234467,1.96611026940375,98.3055134701877
26,4.19065757169072,1.57004627797716,24.5023422281036,1.97185454352608,98.5927271763038
27,4.20220349759788,1.532219739669,26.0507636478319,1.97615579361603,98.8077896808013
